"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJERKE%20ŠRAM%200004","LJERKE ŠRAM 0004","200,00","poslovni prostor","KNJIŽNICE GRADA ZAGREBA","ugovor o korištenju","knjižnične"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20FARKAŠA%20VUKOTINOVIĆA%200005%20DV","LJUDEVITA FARKAŠA VUKOTINOVIĆA 0005 DV","16,00","garaža","MIRNA MIGIĆ - PADJEN","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20FARKAŠA%20VUKOTINOVIĆA%200005%20DV","LJUDEVITA FARKAŠA VUKOTINOVIĆA 0005 DV","16,00","garaža","VURNEK VJEKOSLAV","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20FARKAŠA%20VUKOTINOVIĆA%200009","LJUDEVITA FARKAŠA VUKOTINOVIĆA 0009","379,30","poslovni prostor","ZAGREBAČKI HOLDING D.O.O. - PODRUŽNICA GRADSKO STAMBENO KOMUNALNO GOSPODARSTVO","u korištenju trgovačkog društva u vlasništvu Grada",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200010","LJUDEVITA POSAVSKOG 0010","2.320,32","zgrada","POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA - SUVAG","ugovor o korištenju","specijalističko-konzilijarna zdravstvena zaštita osoba s teškoćama u govornoj komunikaciji"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200010/1","LJUDEVITA POSAVSKOG 0010/1","1.023,01","zgrada","POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA - SUVAG","ugovor o korištenju","odgoj i obrazovanje djece oštećena sluha i/ili govora"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200010/2","LJUDEVITA POSAVSKOG 0010/2","2.208,00","poslovni prostor","POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA - SUVAG","upravljanje i korištenje","za potrebe Centra za umjetnu pužnicu i nove tehnologije"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200014","LJUDEVITA POSAVSKOG 0014","107,70","poslovni prostor","UDRUGA DRAGOVOLJACA I VETERANA DOMOVINSKOG RATA REPUBLIKE HRVATSKE / UDRUGA ZA ŠPORT I REKREACIJU ""VETERAN 91""","ugovor o korištenju","organizirano pružanje pomoći hrvatskim braniteljima i članovima njihovih obitelji u prevladavanju socijalnih, zdravstvenih, psiholoških, pravnih i obiteljskih poteškoća, te pružanje pomoći socijalno ugroženim braniteljima i članovima njihovih obitelji; pripremu i provođenje športske rekreacije hrvatskih branitelja i članova njihovih obitelji"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200014","LJUDEVITA POSAVSKOG 0014","72,00","poslovni prostor","POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA - SUVAG","ugovor o korištenju","potrebe rada ustanove - provođenje dijagnostike i rehabilitacije djece s umjetnom pužnicom i rad rehabilitatora"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LJUDEVITA%20POSAVSKOG%200014","LJUDEVITA POSAVSKOG 0014","111,00","poslovni prostor","POLIKLINIKA ZA REHABILITACIJU SLUŠANJA I GOVORA - SUVAG","ugovor o korištenju","potrebe rada ustanove - provođenje dijagnostike i rehabilitacije djece s umjetnom pužnicom i rad rehabilitatora"
